query,intent,added_by
I am storing related sample IDs as StringField objects in a separate field on my data and I want to use them to match sample IDs that are stored as ObjectIdField objects. How do I do this?,documentation,Jacob
"I have three datasets, and some of my samples are in multiple datasets. I’d like to combine all of these datasets into one dataset for export, retaining each copy of each of the samples. How do I do this?",documentation,Jacob
"I am logging some of my production data in GeoJSON format, and I want to save it in the database in that same format. Is there a way to include the ground_truth label in the labels.json file so that when I reload the GeoJSON dataset, it comes with its annotations?",documentation,Jacob
Is there an equivalent of take() for frames in a video dataset so that I can randomly select a subset of frames for each sample?,documentation,Jacob
Is it possible to have the samples in my dataset appear sorted by their filepath?,documentation,Jacob
How do I use the instance segmentation masks in FiftyOne to generate analogous masks that span the entire image?,documentation,Jacob
Does anyone know how I can make a Jupyter notebook show the FiftyOne output cell view in full height? Mine is cropped on the bottom,documentation,Jacob
"Can we separate a dataset into train, test, and validation splits in FiftyOne?",documentation,Jacob
I have a use case where it would be helpful to color embeddings by tags in the FiftyOne App. Is this possible?,documentation,Jacob
"Let’s say I have two different datasets with different classes, and both are in COCO format. Is there a way to concatenate them into a third dataset, also in COCO format, which contains all of the classes present in each?",documentation,Jacob
Does anyone know if there is a way to omit some labels from a view in the FiftyOne App?,documentation,Jacob
"I’m trying to create a project with FiftyOne’s CVAT utils and initialize it with certain classes. I tried to use a FiftyOne label_schema, but it is not working.",documentation,Jacob
I’m hoping to get some insight into the support metric shown when printing out an evaluation report. What does this mean?,documentation,Jacob
Is there a way to lazy-load high-resolution media files like satellite images into the FiftyOne App?,documentation,Jacob
Is there a way to filter bounding boxes based on their absolute width and height?,documentation,Jacob
"When using the selection plot tool, is there a way to extract the list of sample ids that I selected?",documentation,Jacob
"How can I import all the images in each group as a single task with multiple jobs, rather than multiple tasks with one job each?",documentation,Jacob
Is it possible to relate multiple detections on different samples in FiftyOne?,documentation,Jacob
I have two large image datasets which I want to merge into a grouped dataset according to their values in a certain field. What is the most efficient way to do this?,documentation,Jacob
"I want to send a collection of the worst predictions to Label Studio for annotation, including both ground truth and prediction label fields. How do I do this, when the label schema for Label Studio only accepts one field?",documentation,Jacob
I have a dataset consisting of point-cloud data and I’d love to visualize this data in the FiftyOne App. How can I do this?,documentation,Jacob
"I have run a number of evaluations on the same dataset, and I want to compute evaluation metrics for each label separately. What is the best way to do this?",documentation,Jacob
Is it possible to export a dataset with splits in it?,documentation,Jacob
Is there a point at which calling the values() method on a very large dataset or field will be impractical?”,documentation,Jacob
s it possible to store the metadata for all of the files in one group?,documentation,Jacob
Is there an easy way to display only the bounding boxes and not the masks for detections that have both?,documentation,Jacob
Is it possible to open the FiftyOne App alongside an interactive plot in JupyterLab?,documentation,Jacob
I currently already have some data loaded into CVAT. Is it possible to connect that directly to FiftyOne?,documentation,Jacob
I want to pull only the samples that have an attribute set on a Detections field. The field is a bool and will only belong to detections of a certain label. What is the best way to do this?,documentation,Jacob
Is it possible to use FiftyOne with images available at external URLs (in google images for example) without downloading the images first?,documentation,Jacob
"My dataset is not currently labeled, so I’m sending the whole thing. Is there a limit to how many files can be sent in a single batch?",documentation,Jacob
Who was Albert Einstein?,invalid,Jacob
What's the best way to grow tomatoes at home?,invalid,Jacob
Who wrote the novel '1984'?,invalid,Jacob
Can you recommend some thriller books?,invalid,Jacob
What's the tallest mountain in the world?,invalid,Jacob
What is the capital of Australia?,invalid,Jacob
What are the symptoms of COVID-19?,invalid,Jacob
How to get to the nearest post office from here?,invalid,Jacob
Tell me a joke,invalid,Jacob
Who invented the light bulb?,invalid,Jacob
"Can you suggest ways to automate data annotation for computer vision tasks?""",computer vision,Jacob
What are the best methods for data preprocessing in computer vision?,computer vision,Jacob
How can I handle missing values in my dataset?,computer vision,Jacob
What is data augmentation in computer vision and how can it improve my model?,computer vision,Jacob
Can you explain the concept of class imbalance and how to deal with it?,computer vision,Jacob
What are some common edge cases in image classification tasks?,computer vision,Jacob
How can I identify and remove redundant features from my dataset?,computer vision,Jacob
What are some techniques to handle outliers in my data?,computer vision,Jacob
What is cross-validation and how can it improve my model's performance?,computer vision,Jacob
How can I improve the quality of images in my computer vision dataset?,computer vision,Jacob
What is the best way to split my data into training and test sets?,computer vision,Jacob
How can I handle overfitting in my deep learning model?,computer vision,Jacob
What are some strategies for feature extraction in computer vision?,computer vision,Jacob
How can I use principal component analysis for dimensionality reduction in my dataset?,computer vision,Jacob
What are some effective methods for data cleaning in machine learning?,computer vision,Jacob
"How can I ensure my data is not biased, leading to a biased model?",computer vision,Jacob
How can I use data normalization to improve my model's performance?,computer vision,Jacob
"Can you suggest ways to automate data annotation for computer vision tasks?""",computer vision,Jacob
What techniques can be used to balance a skewed dataset in machine learning?,computer vision,Jacob
sort the samples with a car prediction by how gloomy the scene is,display,Jacob
"sort by similarity to the last image with a table, with key 'text_sim'",display,Jacob
a winter wonderland,display,Jacob
a dark and stormy scene,display,Jacob
cats,display,Jacob
Samples whose image is less than 48 KB,display,Jacob
show me the 10 haziest images,display,Jacob
photos that look like they were taken in the woods,display,Jacob
50 blurry images,display,Jacob
an elizabethan estate,display,Jacob
retrieve the images that are similar to a rubber duck,display,Jacob
"get the 100 images that look most like they come from an animated film, and shuffle them",display,Jacob
samples that look really crowded,display,Jacob
A grassy knoll,display,Jacob
I want to see the bluest images,display,Jacob
10 images with a lot of green or grass,display,Jacob
take the images of buildings and find the ones that are most run down,display,Jacob
Round `uniqueness` values to either 0.25 or 0.75,display,Jacob
"Create a view containing samples whose `int` field have 1, 51, or 33",display,Jacob
Samples whose image is less than 48 KB,display,Jacob
get the filepaths that are strings,display,Jacob
a view of all samples with arccos('field_to_apply_to') less than 0.2,display,Jacob
In september,display,Jacob
2022,display,Jacob
With minute not equal to 0,display,Jacob
images of dogs,display,Jacob
videos containing birds,display,Jacob
fp predictions,display,Jacob
shuffle the data,display,Jacob
take 20,display,Jacob
just show the Detection labels,display,Jacob
samples of digits 1 and 3,display,Jacob
images that do not only contain elephants,display,Jacob
