query,intent,added_by
how do I create a project with FiftyOne’s CVAT utils and initialize it with certain classes using label_schema,documentation,Jacob
what does the support metric mean from evaluation report?,documentation,Jacob
Is there a way to lazy-load hi-res satellite images into the app?,documentation,Jacob
can I filter bounding boxes based on their absolute width and height?,documentation,Jacob
what is a panel?,documentation,Jacob
what is the brain,documentation,Jacob
Is it possible to relate multiple detections on different samples in FiftyOne?,documentation,Jacob
how do i merge 2 datasets into a grouped dataset according to their values in a certain field,documentation,Jacob
can I send the worst predictions to Label Studio for annotation?,documentation,Jacob
how do I work with point clouds?,documentation,Jacob
"I have run a number of evaluations on the same dataset, and I want to compute evaluation metrics for each label separately. What is the best way to do this?",documentation,Jacob
Is it possible to export a dataset with splits in it?,documentation,Jacob
what's the point of calling the values() method on a very large dataset?,documentation,Jacob
is it possible to store the metadata for all of the files in one group?,documentation,Jacob
Is there an easy way to display only the bounding boxes and not the masks for detections that have both?,documentation,Jacob
can I open the app alongside an interactive plot in JupyterLab?,documentation,Jacob
can I load data from CVAT directly into fiftyone?,documentation,Jacob
I want to pull only the samples that have an attribute set on a Detections field. The field is a bool and will only belong to detections of a certain label. What is the best way to do this?,documentation,Jacob
Is it possible to use FiftyOne with images available at external URLs (in google images for example) without downloading the images first?,documentation,Jacob
"My dataset is not currently labeled, so I’m sending the whole thing. Is there a limit to how many files can be sent in a single batch?",documentation,Jacob
Who was Albert Einstein?,invalid,Jacob
What's the best way to grow tomatoes at home?,invalid,Jacob
Who wrote the novel '1984'?,invalid,Jacob
Can you recommend some thriller books?,invalid,Jacob
What's the tallest mountain in the world?,invalid,Jacob
What is the capital of Australia?,invalid,Jacob
What are the symptoms of COVID-19?,invalid,Jacob
How to get to the nearest post office from here?,invalid,Jacob
Tell me a joke,invalid,Jacob
Who invented the light bulb?,invalid,Jacob
Can you suggest ways to automate data annotation for computer vision tasks?,computer vision,Jacob
What are the best methods for data preprocessing in computer vision?,computer vision,Jacob
How can I handle missing values in my dataset?,computer vision,Jacob
What is data augmentation in computer vision and how can it improve my model?,computer vision,Jacob
Can you explain the concept of class imbalance and how to deal with it?,computer vision,Jacob
What are some common edge cases in image classification tasks?,computer vision,Jacob
How can I identify and remove redundant features from my dataset?,computer vision,Jacob
What are some techniques to handle outliers in my data?,computer vision,Jacob
What is cross-validation and how can it improve my model's performance?,computer vision,Jacob
How can I improve the quality of images in my computer vision dataset?,computer vision,Jacob
how do I load a dataset,documentation,Jacob
can I work with videos?,documentation,Jacob
tell me about Voxel51,documentation,Jacob
how do I install a plugin?,documentation,Jacob
what does uniqueness mean?,documentation,Jacob
what is mistakenness?,documentation,Jacob
How can I use data normalization to improve my model's performance?,computer vision,Jacob
Can you suggest ways to automate data annotation for computer vision tasks?,computer vision,Jacob
What techniques can be used to balance a skewed dataset in machine learning?,computer vision,Jacob
what brain methods are there?,documentation,Jacob
what is an evaluation key?,documentation,Jacob
how do I remove duplicate images from my dataset?,documentation,Jacob
